Die,stud,mold,PCB,Total_warpage,Unit_warpage,NLPLWK_up_14400,NLPLWK_up_10800,NLPLWK_up_7200,NLPLWK_up_3600,NLPLWK_down_14400,NLPLWK_down_10800,NLPLWK_down_7200,NLPLWK_down_3600,Acc_Equi_Strain_up,Acc_Equi_Strain_down,Acc_Equi_Strain_max,Nf_pred (cycles)
150,80,75,1,9.7221,8.0485,1.8064,1.4512,1.0916,0.7216,1.4014,1.1212,0.8374,0.5437,0.05268,0.0483,0.05268,1179.898752
150,80,75,0.8,11.365,8.8865,1.478,1.2081,0.9341,0.65,1.2413,1.0054,0.7655,0.5147,0.04725,0.04554,0.04725,2939.750888
150,80,75,0.6,14.4,10.463,1.0325,0.8689,0.7016,0.5228,1.211,1.0443,0.8714,0.6829,0.03905,0.04768,0.04768,749.8170023
150,80,65,1,9.7306,8.0672,1.7821,1.433,1.0794,0.7153,1.3754,1.1034,0.8276,0.5421,0.05223,0.04734,0.05223,1247.73856
150,80,65,0.8,11.38,8.9118,1.4599,1.1943,0.9246,0.6447,1.2139,0.9864,0.7551,0.5125,0.04689,0.04454,0.04689,3020.004819
150,80,65,0.6,14.424,10.495,1.0192,0.8586,0.6842,0.5183,1.2031,1.0375,0.8657,0.6785,0.03871,0.04753,0.04753,745.1137282
150,80,55,1,9.738,8.0861,1.772,1.4271,1.0776,0.7178,1.3927,1.1146,0.8331,0.5415,0.05203,0.04806,0.05203,1278.378812
150,80,55,0.8,11.394,8.9381,1.442,1.1808,0.9155,0.64,1.209,0.9826,0.7522,0.5106,0.04649,0.04439,0.04649,2563.303871
150,80,55,0.6,14.309,10.42,1.0675,0.8957,0.7197,0.5325,1.0451,0.8639,0.6778,0.4774,0.0396,0.04181,0.04181,744.1429122
150,70,75,1,9.7136,8.0677,1.7781,1.4313,1.0802,0.7189,1.3957,1.1189,0.8385,0.5484,0.05215,0.04782,0.05215,1225.358393
150,70,75,0.8,11.384,8.926,1.4598,1.1947,0.9256,0.6463,1.2349,1.0026,0.7666,0.5196,0.04686,0.04508,0.04686,2876.131795
150,70,75,0.6,14.527,10.579,1.0256,0.8645,0.6996,0.523,1.2384,1.066,0.8875,0.6931,0.03892,0.04817,0.04817,761.6274357
150,70,65,1,9.722,8.0863,1.7566,1.4153,1.0697,0.7139,1.3915,1.1156,0.8362,0.5472,0.05171,0.04771,0.05171,1253.332163
150,70,65,0.8,11.399,8.9512,1.4416,1.181,0.9163,0.6415,1.2316,1,0.7646,0.5181,0.04645,0.04495,0.04645,2960.331072
150,70,65,0.6,14.549,10.611,1.011,0.8531,0.6915,0.5182,1.2306,1.0594,0.882,0.6888,0.03853,0.04801,0.04801,781.6951488
150,70,55,1,9.7296,8.1069,1.7332,1.3979,1.0583,0.7083,1.3861,1.1115,0.8334,0.5456,0.05123,0.04757,0.05123,1286.693939
150,70,55,0.8,11.413,8.978,1.4221,1.1663,0.9064,0.6364,1.2268,0.9962,0.7619,0.5164,0.04602,0.04482,0.04602,2550.745539
150,70,55,0.6,14.431,10.535,1.06,0.8909,0.7177,0.5333,1.0622,0.8775,0.6879,0.4838,0.03943,0.04228,0.04228,751.8713793
150,60,75,1,9.6973,8.0778,1.7458,1.4069,1.0637,0.7104,1.4164,1.1345,0.8491,0.554,0.05152,0.04827,0.05152,1220.123765
150,60,75,0.8,11.392,8.9571,1.4446,1.1833,0.918,0.6427,1.2557,1.0185,0.7776,0.5259,0.004654,0.04557,0.04557,2849.648203
150,60,75,0.6,14.64,10.686,1.006,0.8497,0.6897,0.5191,1.2697,1.0909,0.9057,0.7044,0.03832,0.04869,0.04869,770.8245013
150,60,65,1,9.7053,8.097,1.7225,1.3896,1.0523,0.7049,1.4121,1.1312,0.8468,0.5527,0.05104,0.04815,0.05104,1249.971671
150,60,65,0.8,11.406,8.9823,1.4248,1.1683,0.9079,0.6374,1.2524,1.0159,0.7556,0.5244,0.0461,0.04544,0.0461,2934.638099
150,60,65,0.6,14.662,10.718,0.9912,0.8382,0.6815,0.5141,1.2617,1.0841,0.9001,0.7002,0.03794,0.04853,0.04853,792.6917545
150,60,55,1,9.712,8.1182,1.6971,1.3706,1.0398,0.6989,1.4068,1.1271,0.8739,0.5511,0.0803,0.07722,0.0803,1285.141042
150,60,55,0.8,11.419,9.0089,1.4036,1.1524,0.8971,0.6318,1.2476,1.0121,0.7728,0.5225,0.04563,0.0453,0.04563,2505.95811
150,60,55,0.6,14.539,10.64,1.062,0.8943,0.7225,0.5396,1.0837,0.8947,0.7008,0.4923,0.03956,0.04288,0.04288,2505.96
